fips,cluster
01001,1
01003,1
01005,1
01007,1
01009,1
01011,1
01013,1
01015,1
01017,1
01019,1
01021,1
01023,0
01025,1
01027,1
01029,1
01031,1
01033,1
01035,1
01037,1
01039,1
01041,1
01043,1
01045,1
01047,1
01049,1
01051,1
01053,1
01055,1
01057,1
01059,1
01061,1
01063,1
01065,1
01067,1
01069,1
01071,1
01073,1
01075,0
01077,1
01079,1
01081,1
01083,1
01085,1
01087,1
01089,1
01091,1
01093,1
01095,1
01097,1
01099,1
01101,1
01103,1
01105,1
01107,1
01109,1
01111,1
01113,1
01115,1
01117,1
01119,0
01121,1
01123,1
01125,1
01127,1
01129,1
01131,1
01133,1
02013,0
02016,1
02020,0
02068,1
02070,0
02090,0
02100,1
02110,1
02122,1
02130,0
02150,1
02158,0
02170,0
02185,1
02195,0
02198,1
02230,1
02240,0
02275,0
02290,0
04001,0
04003,0
04005,0
04007,0
04009,0
04011,0
04012,0
04013,1
04015,1
04017,0
04019,0
04021,0
04023,0
04025,0
04027,1
05001,1
05003,1
05005,1
05007,1
05009,1
05011,1
05013,1
05015,1
05017,1
05019,1
05021,1
05023,1
05025,1
05027,1
05029,1
05031,1
05033,1
05035,1
05037,1
05039,1
05041,1
05043,1
05045,1
05047,1
05049,0
05051,1
05053,1
05055,1
05057,1
05059,1
05061,1
05063,1
05065,1
05067,0
05069,1
05071,1
05073,1
05075,1
05081,1
05083,1
05085,1
05087,1
05089,1
05091,1
05093,1
05095,1
05097,1
05099,1
05101,1
05103,1
05105,1
05107,1
05109,1
05111,1
05113,1
05115,1
05117,1
05119,1
05121,1
05123,1
05125,1
05127,1
05129,1
05131,1
05133,1
05135,1
05137,1
05139,1
05141,1
05143,1
05145,1
05147,1
05149,1
06001,0
06003,0
06005,1
06007,1
06009,1
06011,1
06013,1
06015,1
06017,1
06019,1
06021,1
06023,1
06025,0
06027,0
06029,1
06031,1
06033,1
06035,1
06037,1
06039,1
06041,0
06043,0
06045,1
06047,1
06049,0
06051,0
06053,0
06055,1
06057,1
06059,1
06061,1
06063,0
06065,1
06067,1
06069,0
06071,1
06073,1
06075,0
06077,1
06079,1
06081,0
06083,1
06085,0
06087,0
06089,1
06091,0
06093,1
06095,1
06097,0
06099,1
06101,1
06103,1
06105,0
06107,1
06109,1
06111,1
06113,1
06115,1
08001,0
08003,0
08005,0
08007,0
08009,0
08013,0
08014,0
08015,0
08017,0
08019,0
08021,0
08023,0
08027,0
08029,0
08031,0
08033,0
08035,0
08037,0
08039,0
08041,0
08043,0
08045,0
08047,0
08049,0
08051,0
08053,1
08055,0
08057,0
08059,0
08063,0
08065,0
08067,0
08069,0
08071,0
08073,0
08075,0
08077,0
08079,0
08081,0
08083,0
08085,0
08087,0
08089,0
08091,0
08093,0
08095,0
08099,0
08101,0
08103,0
08105,0
08107,0
08109,0
08113,0
08115,0
08117,0
08119,0
08121,0
08123,0
08125,0
09001,0
09003,0
09005,0
09007,0
09009,0
09011,0
09013,0
09015,0
10001,0
10003,0
10005,0
11001,0
12001,1
12003,1
12005,1
12007,1
12009,1
12011,1
12013,1
12015,1
12017,1
12019,1
12021,1
12023,1
12027,1
12029,1
12031,1
12033,1
12035,1
12037,1
12039,1
12041,1
12043,1
12045,1
12047,1
12049,1
12051,1
12053,1
12055,1
12057,1
12059,1
12061,1
12063,1
12065,1
12067,1
12069,1
12071,1
12073,1
12075,1
12077,1
12079,1
12081,1
12083,1
12085,1
12086,1
12087,1
12089,1
12091,1
12093,1
12095,1
12097,1
12099,1
12101,1
12103,1
12105,1
12107,1
12109,1
12111,1
12113,1
12115,1
12117,1
12119,1
12121,1
12123,1
12125,1
12127,1
12129,1
12131,1
12133,1
13001,1
13003,1
13005,1
13007,1
13009,1
13011,1
13013,1
13015,1
13017,1
13019,1
13021,1
13023,1
13025,1
13027,1
13029,1
13031,1
13033,1
13035,1
13037,1
13039,1
13043,1
13045,1
13047,1
13049,1
13051,1
13055,1
13057,1
13059,1
13061,1
13063,1
13065,1
13067,1
13069,1
13071,1
13073,1
13075,1
13077,1
13079,1
13081,1
13083,1
13085,1
13087,1
13089,1
13091,1
13093,1
13095,1
13097,1
13099,1
13103,1
13105,1
13107,1
13109,1
13111,1
13113,1
13115,1
13117,1
13119,1
13121,1
13123,1
13125,1
13127,1
13129,1
13131,1
13133,1
13135,1
13137,1
13139,1
13141,1
13143,1
13145,1
13147,1
13149,1
13151,1
13153,1
13155,1
13157,1
13159,1
13161,1
13163,1
13165,1
13167,1
13169,1
13171,1
13173,1
13175,1
13177,1
13179,1
13181,1
13183,1
13185,1
13187,1
13189,1
13191,1
13193,1
13195,1
13197,1
13199,1
13201,1
13205,1
13207,1
13209,1
13211,1
13213,1
13215,1
13217,1
13219,1
13221,1
13223,1
13225,1
13227,1
13229,1
13231,1
13233,1
13235,1
13237,1
13239,1
13241,1
13243,1
13245,1
13247,1
13249,1
13251,1
13253,1
13255,1
13257,1
13261,1
13263,1
13265,1
13267,1
13269,1
13271,1
13273,1
13275,1
13277,1
13279,1
13281,1
13283,1
13285,1
13287,1
13289,1
13291,1
13293,1
13295,1
13297,1
13299,1
13301,1
13303,1
13305,1
13307,1
13309,1
13311,1
13313,1
13315,1
13317,1
13319,1
13321,1
15001,1
15003,1
15005,0
15007,0
15009,1
16001,0
16003,0
16005,0
16007,0
16009,0
16011,0
16013,0
16015,0
16017,0
16019,0
16021,0
16023,0
16025,0
16027,1
16029,0
16031,0
16033,0
16035,1
16037,0
16039,1
16041,0
16043,0
16045,0
16047,1
16049,0
16051,0
16053,1
16055,0
16057,0
16059,0
16061,1
16063,0
16065,0
16067,0
16069,1
16071,0
16073,0
16075,1
16077,0
16079,0
16081,0
16083,1
16085,1
16087,1
17001,1
17003,1
17005,0
17007,0
17009,1
17011,0
17013,0
17015,0
17017,0
17019,0
17021,0
17023,0
17025,1
17027,0
17029,0
17031,0
17033,1
17035,0
17037,0
17039,0
17041,0
17043,0
17045,0
17047,1
17049,0
17051,0
17053,0
17055,1
17057,0
17059,1
17061,1
17063,0
17065,1
17067,0
17069,0
17071,0
17073,0
17075,0
17077,1
17079,1
17081,1
17083,0
17085,0
17087,1
17089,0
17091,0
17093,0
17095,0
17097,0
17099,0
17101,0
17103,0
17105,0
17107,0
17109,0
17111,0
17113,0
17115,0
17117,0
17119,0
17121,1
17123,0
17125,0
17127,1
17129,0
17131,0
17133,0
17135,0
17137,0
17139,0
17141,0
17143,0
17145,1
17147,0
17149,0
17151,0
17153,1
17155,0
17157,1
17159,1
17161,0
17163,0
17165,1
17167,0
17169,0
17171,1
17173,0
17175,0
17177,0
17179,0
17181,1
17183,0
17185,1
17187,0
17189,1
17191,1
17193,1
17195,0
17197,0
17199,1
17201,0
17203,0
18001,0
18003,0
18005,0
18007,0
18009,0
18011,0
18013,0
18015,0
18017,0
18019,1
18021,1
18023,0
18025,1
18027,0
18029,0
18031,0
18033,0
18035,0
18037,1
18039,0
18041,0
18043,1
18045,0
18047,0
18049,0
18051,1
18053,0
18055,0
18057,0
18059,0
18061,1
18063,0
18065,0
18067,0
18069,0
18071,0
18073,0
18075,0
18077,0
18079,0
18081,0
18083,1
18085,0
18087,0
18089,0
18091,0
18093,1
18095,0
18097,0
18099,0
18101,1
18103,0
18105,0
18107,0
18109,0
18111,0
18113,0
18115,1
18117,1
18119,0
18121,1
18123,0
18125,1
18127,0
18129,1
18131,0
18133,1
18135,0
18137,0
18139,0
18141,0
18143,1
18145,0
18147,1
18149,0
18151,0
18153,1
18155,1
18157,0
18159,0
18161,0
18163,1
18165,0
18167,0
18169,0
18171,0
18173,1
18175,0
18177,0
18179,0
18181,0
18183,0
19001,0
19003,0
19005,0
19007,0
19009,0
19011,0
19013,0
19015,0
19017,0
19019,0
19021,0
19023,0
19025,0
19027,0
19029,0
19031,0
19033,0
19035,0
19037,0
19039,0
19041,0
19043,0
19045,0
19047,1
19049,0
19051,0
19053,0
19055,0
19057,0
19059,0
19061,0
19063,0
19065,0
19067,0
19069,0
19071,0
19073,0
19075,0
19077,0
19079,0
19081,0
19083,0
19085,0
19087,0
19089,0
19091,0
19093,0
19095,0
19097,0
19099,0
19101,0
19103,0
19105,0
19107,0
19109,0
19111,1
19113,0
19115,0
19117,0
19119,0
19121,0
19123,0
19125,0
19127,0
19129,0
19131,0
19133,0
19135,0
19137,0
19139,0
19141,0
19143,0
19145,0
19147,0
19149,0
19151,0
19153,0
19155,0
19157,0
19159,0
19161,0
19163,0
19165,0
19167,0
19169,0
19171,0
19173,0
19175,0
19177,0
19179,0
19181,0
19183,0
19185,0
19187,0
19189,0
19191,0
19193,0
19195,0
19197,0
20001,0
20003,0
20005,1
20007,0
20009,0
20011,1
20013,0
20015,0
20017,0
20019,0
20021,1
20023,0
20025,0
20027,0
20029,0
20031,0
20033,0
20035,0
20037,1
20039,0
20041,0
20043,0
20045,0
20047,0
20049,0
20051,0
20053,0
20055,0
20057,0
20059,0
20061,0
20063,0
20065,0
20067,0
20069,0
20071,0
20073,1
20075,0
20077,0
20079,0
20081,0
20083,0
20085,0
20087,0
20089,0
20091,0
20093,0
20095,0
20097,0
20099,0
20101,0
20103,1
20105,0
20107,1
20109,0
20111,0
20113,0
20115,0
20117,0
20119,0
20121,0
20123,0
20125,1
20127,0
20129,0
20131,0
20133,0
20135,0
20139,0
20141,0
20143,0
20145,0
20147,0
20149,0
20151,0
20153,0
20155,0
20157,0
20159,0
20161,0
20163,0
20165,0
20167,0
20169,0
20171,0
20173,0
20175,0
20177,1
20179,0
20181,0
20183,0
20185,0
20187,1
20189,0
20191,0
20193,0
20195,0
20197,0
20199,0
20201,0
20203,0
20205,0
20207,0
20209,1
21001,1
21003,1
21005,0
21007,0
21009,1
21011,0
21013,1
21015,0
21017,1
21019,1
21021,1
21023,0
21025,1
21027,1
21029,1
21031,1
21033,0
21035,1
21037,0
21039,0
21041,1
21043,1
21045,1
21047,1
21049,1
21051,1
21053,1
21055,0
21057,1
21059,1
21061,1
21063,0
21065,1
21067,1
21069,1
21071,1
21073,1
21075,0
21077,1
21079,1
21081,0
21083,1
21085,1
21087,1
21089,1
21091,1
21093,1
21095,1
21097,1
21099,1
21101,1
21103,1
21105,1
21107,1
21109,1
21111,1
21113,1
21115,1
21117,0
21119,1
21121,1
21123,1
21125,1
21127,0
21129,1
21131,1
21133,1
21135,1
21137,1
21139,0
21141,1
21145,1
21147,1
21149,1
21151,1
21153,1
21155,1
21157,1
21159,1
21161,0
21163,1
21165,1
21167,1
21169,1
21171,1
21173,1
21175,0
21177,1
21179,1
21181,1
21183,1
21185,0
21187,1
21189,1
21191,1
21193,1
21195,1
21197,1
21199,1
21201,0
21203,1
21205,0
21207,1
21209,0
21211,1
21213,0
21215,1
21217,1
21219,0
21221,0
21223,1
21225,1
21227,1
21229,1
21231,1
21233,1
21235,1
21237,1
21239,1
22001,1
22003,1
22005,1
22007,1
22009,1
22011,1
22013,1
22015,1
22017,1
22019,1
22021,1
22023,1
22025,1
22027,1
22029,1
22031,1
22033,1
22037,1
22039,1
22041,1
22043,1
22045,1
22047,1
22049,1
22051,1
22053,1
22055,1
22057,1
22059,1
22061,1
22063,1
22065,1
22067,1
22069,1
22071,1
22073,1
22075,1
22077,1
22079,1
22081,1
22083,1
22085,1
22087,1
22089,1
22091,1
22093,1
22095,1
22097,1
22099,1
22101,1
22103,1
22105,1
22107,1
22109,1
22111,1
22113,1
22115,1
22117,1
22119,1
22121,1
22123,1
22125,1
22127,1
23001,0
23003,0
23005,0
23007,0
23009,0
23011,0
23013,0
23015,0
23017,0
23019,0
23021,0
23023,0
23025,0
23027,0
23029,0
23031,0
24001,0
24003,0
24005,0
24009,0
24011,0
24013,0
24015,0
24017,0
24019,0
24021,0
24023,0
24025,0
24027,0
24029,0
24031,0
24033,0
24035,0
24037,0
24039,0
24041,0
24043,0
24045,0
24047,0
24510,0
25001,0
25003,0
25005,0
25007,0
25009,0
25011,0
25013,0
25015,0
25017,0
25019,0
25021,0
25023,0
25025,0
25027,0
26001,0
26003,0
26005,0
26007,0
26009,0
26011,0
26013,0
26015,0
26017,0
26019,0
26021,0
26023,0
26025,0
26027,0
26029,0
26031,0
26033,0
26035,0
26037,0
26039,0
26041,0
26043,0
26045,0
26047,0
26049,0
26051,0
26053,0
26055,0
26057,0
26059,0
26061,0
26063,0
26065,0
26067,0
26069,0
26071,0
26073,0
26075,0
26077,0
26079,0
26081,0
26083,0
26085,0
26087,0
26089,0
26091,0
26093,0
26097,0
26099,0
26101,0
26103,0
26105,0
26107,0
26109,0
26111,0
26113,0
26115,0
26117,0
26119,0
26121,0
26123,0
26125,0
26127,0
26129,0
26131,0
26133,0
26135,0
26137,0
26139,0
26141,0
26143,0
26145,0
26147,0
26149,0
26151,0
26153,0
26155,0
26157,0
26159,0
26161,0
26163,0
26165,0
27001,0
27003,0
27005,0
27007,0
27009,0
27011,0
27013,0
27015,0
27017,0
27019,0
27021,0
27023,0
27025,0
27027,0
27029,0
27031,0
27033,0
27035,0
27037,0
27039,0
27041,0
27043,0
27045,0
27047,0
27049,0
27051,0
27053,0
27055,0
27057,0
27059,0
27061,0
27063,0
27065,0
27067,0
27069,0
27071,0
27073,0
27075,0
27077,0
27079,0
27081,0
27083,0
27085,0
27087,0
27089,0
27091,0
27093,0
27095,0
27097,0
27099,0
27101,0
27103,0
27105,0
27107,0
27109,0
27111,0
27113,0
27115,0
27117,0
27119,0
27121,0
27123,0
27125,0
27127,0
27129,0
27131,0
27133,0
27135,0
27137,0
27139,0
27141,0
27143,0
27145,0
27147,0
27149,0
27151,0
27153,0
27155,0
27157,0
27159,0
27161,0
27163,0
27165,0
27167,0
27169,0
27171,0
27173,0
28001,1
28003,1
28005,1
28007,1
28009,1
28011,1
28013,1
28015,1
28017,1
28019,1
28021,1
28023,1
28025,1
28027,1
28029,1
28031,1
28033,1
28035,1
28037,1
28039,1
28041,1
28043,1
28045,1
28047,1
28049,1
28051,1
28053,1
28055,1
28057,1
28059,1
28061,1
28063,1
28065,1
28067,1
28069,1
28071,1
28073,1
28075,1
28077,1
28079,1
28081,1
28083,1
28085,1
28087,1
28089,1
28091,1
28093,1
28095,1
28097,1
28099,1
28101,1
28103,1
28105,1
28107,1
28109,1
28111,1
28113,1
28115,1
28117,1
28119,1
28121,1
28123,1
28125,1
28127,1
28129,1
28131,1
28133,1
28135,1
28137,1
28139,1
28141,1
28143,1
28145,1
28147,1
28149,1
28151,1
28153,1
28155,1
28157,1
28159,1
28161,1
28163,1
29001,0
29003,0
29005,0
29007,0
29009,1
29011,1
29013,1
29015,1
29017,1
29019,1
29021,1
29023,1
29025,0
29027,1
29029,1
29031,1
29033,0
29035,1
29037,1
29039,0
29041,0
29043,1
29045,0
29047,0
29049,0
29051,1
29053,1
29055,1
29057,0
29059,1
29061,0
29063,0
29065,1
29067,1
29069,1
29071,0
29073,1
29075,0
29077,1
29079,0
29081,0
29083,1
29085,0
29087,0
29089,0
29091,1
29093,1
29095,0
29097,1
29099,0
29101,1
29103,0
29105,1
29107,0
29109,1
29111,1
29113,0
29115,0
29117,0
29119,1
29121,0
29123,1
29125,1
29127,1
29129,0
29131,1
29133,1
29135,1
29137,0
29139,1
29141,0
29143,1
29145,1
29147,0
29149,1
29151,0
29153,1
29155,1
29157,0
29159,1
29161,1
29163,0
29165,0
29167,1
29169,0
29171,0
29173,0
29175,0
29177,0
