,fips,county,state
0,53061.0,Snohomish,Washington
3,17031.0,Cook,Illinois
5,6059.0,Orange,California
8,4013.0,Maricopa,Arizona
9,6037.0,Los Angeles,California
36,6085.0,Santa Clara,California
44,25025.0,Suffolk,Massachusetts
49,6075.0,San Francisco,California
78,55025.0,Dane,Wisconsin
118,6073.0,San Diego,California
143,48029.0,Bexar,Texas
198,31055.0,Douglas,Nebraska
227,6023.0,Humboldt,California
243,6067.0,Sacramento,California
289,6095.0,Solano,California
295,53063.0,Spokane,Washington
310,49035.0,Salt Lake,Utah
317,6041.0,Marin,California
318,6055.0,Napa,California
325,6097.0,Sonoma,California
369,41067.0,Washington,Oregon
372,53033.0,King,Washington
399,6001.0,Alameda,California
411,12057.0,Hillsborough,Florida
412,12081.0,Manatee,Florida
432,6061.0,Placer,California
436,6081.0,San Mateo,California
442,13121.0,Fulton,Georgia
444,25021.0,Norfolk,Massachusetts
447,33009.0,Grafton,New Hampshire
456,53071.0,Walla Walla,Washington
460,6013.0,Contra Costa,California
483,37183.0,Wake,North Carolina
517,34003.0,Bergen,New Jersey
519,36119.0,Westchester,New York
524,48157.0,Fort Bend,Texas
526,53007.0,Chelan,Washington
548,8035.0,Douglas,Colorado
549,8059.0,Jefferson,Colorado
552,12113.0,Santa Rosa,Florida
555,24031.0,Montgomery,Maryland
556,25017.0,Middlesex,Massachusetts
560,32003.0,Clark,Nevada
561,32031.0,Washoe,Nevada
564,36059.0,Nassau,New York
570,47187.0,Williamson,Tennessee
573,48201.0,Harris,Texas
582,4021.0,Pinal,Arizona
598,6113.0,Yolo,California
599,8031.0,Denver,Colorado
601,8037.0,Eagle,Colorado
602,8041.0,El Paso,Colorado
604,12011.0,Broward,Florida
606,12071.0,Lee,Florida
610,13233.0,Polk,Georgia
611,15003.0,Honolulu,Hawaii
613,18097.0,Marion,Indiana
614,21067.0,Fayette,Kentucky
619,27123.0,Ramsey,Minnesota
625,34007.0,Camden,New Jersey
628,36087.0,Rockland,New York
630,37037.0,Chatham,North Carolina
632,40143.0,Tulsa,Oklahoma
634,42045.0,Delaware,Pennsylvania
635,42127.0,Wayne,Pennsylvania
637,45019.0,Charleston,South Carolina
638,45055.0,Kershaw,South Carolina
643,49011.0,Davis,Utah
645,49053.0,Washington,Utah
647,53011.0,Clark,Washington
648,53031.0,Jefferson,Washington
650,53053.0,Pierce,Washington
659,6019.0,Fresno,California
662,6039.0,Madera,California
667,6065.0,Riverside,California
673,6087.0,Santa Cruz,California
682,11001.0,District of Columbia,District of Columbia
684,12015.0,Charlotte,Florida
688,12091.0,Okaloosa,Florida
690,12127.0,Volusia,Florida
691,13067.0,Cobb,Georgia
693,13135.0,Gwinnett,Georgia
698,20091.0,Johnson,Kansas
701,25003.0,Berkshire,Massachusetts
706,29189.0,St. Louis,Missouri
711,33015.0,Rockingham,New Hampshire
717,36091.0,Saratoga,New York
722,41029.0,Jackson,Oregon
723,41035.0,Klamath,Oregon
726,42091.0,Montgomery,Pennsylvania
738,50003.0,Bennington,Vermont
739,51059.0,Fairfax,Virginia
744,53037.0,Kittitas,Washington
777,9001.0,Fairfield,Connecticut
787,13057.0,Cherokee,Georgia
794,18063.0,Hendricks,Indiana
796,19103.0,Johnson,Iowa
799,21097.0,Harrison,Kentucky
800,21111.0,Jefferson,Kentucky
801,24025.0,Harford,Maryland
807,25027.0,Worcester,Massachusetts
808,27019.0,Carver,Minnesota
818,34031.0,Passaic,New Jersey
823,36103.0,Suffolk,New York
824,36111.0,Ulster,New York
829,41019.0,Douglas,Oregon
832,41047.0,Marion,Oregon
840,45083.0,Spartanburg,South Carolina
841,47037.0,Davidson,Tennessee
842,47157.0,Shelby,Tennessee
856,53035.0,Kitsap,Washington
864,4019.0,Pima,Arizona
883,6089.0,Shasta,California
887,8005.0,Arapahoe,Colorado
893,8069.0,Larimer,Colorado
906,13089.0,DeKalb,Georgia
907,13113.0,Fayette,Georgia
908,13115.0,Floyd,Georgia
916,18113.0,Noble,Indiana
918,19155.0,Pottawattamie,Iowa
923,22051.0,Jefferson,Louisiana
926,24033.0,Prince George's,Maryland
942,34017.0,Hudson,New Jersey
943,34025.0,Monmouth,New Jersey
945,34039.0,Union,New Jersey
955,39035.0,Cuyahoga,Ohio
963,42089.0,Monroe,Pennsylvania
974,48085.0,Collin,Texas
982,51810.0,Virginia Beach city,Virginia
994,55093.0,Pierce,Wisconsin
1012,6077.0,San Joaquin,California
1019,6111.0,Ventura,California
1026,8051.0,Gunnison,Colorado
1031,12001.0,Alachua,Florida
1034,12021.0,Collier,Florida
1038,12089.0,Nassau,Florida
1040,12101.0,Pasco,Florida
1041,12103.0,Pinellas,Florida
1044,13049.0,Charlton,Georgia
1055,17089.0,Kane,Illinois
1056,17111.0,McHenry,Illinois
1057,18001.0,Adams,Indiana
1058,18011.0,Boone,Indiana
1069,22071.0,Orleans,Louisiana
1074,25009.0,Essex,Massachusetts
1079,26125.0,Oakland,Michigan
1080,26163.0,Wayne,Michigan
1081,27003.0,Anoka,Minnesota
1091,34005.0,Burlington,New Jersey
1112,41051.0,Multnomah,Oregon
1117,42101.0,Philadelphia,Pennsylvania
1123,46005.0,Beadle,South Dakota
1124,46023.0,Charles Mix,South Dakota
1125,46035.0,Davison,South Dakota
1126,46099.0,Minnehaha,South Dakota
1129,47163.0,Sullivan,Tennessee
1133,48113.0,Dallas,Texas
1136,48339.0,Montgomery,Texas
1137,48439.0,Tarrant,Texas
1141,49057.0,Weber,Utah
1144,51107.0,Loudoun,Virginia
1153,53057.0,Skagit,Washington
1157,53073.0,Whatcom,Washington
1163,5069.0,Jefferson,Arkansas
1185,6099.0,Stanislaus,California
1196,8097.0,Pitkin,Colorado
1198,10003.0,New Castle,Delaware
1207,12086.0,Miami-Dade,Florida
1213,12109.0,St. Johns,Florida
1215,13015.0,Bartow,Georgia
1224,13177.0,Lee,Georgia
1225,13185.0,Lowndes,Georgia
1230,17097.0,Lake,Illinois
1235,18067.0,Howard,Indiana
1236,18081.0,Johnson,Indiana
1239,18141.0,St. Joseph,Indiana
1246,22017.0,Caddo,Louisiana
1249,24005.0,Baltimore,Maryland
1263,27109.0,Olmsted,Minnesota
1265,28035.0,Forrest,Mississippi
1276,34023.0,Middlesex,New Jersey
1280,35001.0,Bernalillo,New Mexico
1281,35049.0,Santa Fe,New Mexico
1282,35053.0,Socorro,New Mexico
1283,36055.0,Monroe,New York
1293,38101.0,Ward,North Dakota
1295,39151.0,Stark,Ohio
1297,41017.0,Deschutes,Oregon
1301,41043.0,Linn,Oregon
1304,41053.0,Polk,Oregon
1305,41059.0,Umatilla,Oregon
1307,42017.0,Bucks,Pennsylvania
1316,45057.0,Lancaster,South Carolina
1319,46009.0,Bon Homme,South Dakota
1331,48183.0,Gregg,Texas
1340,50007.0,Chittenden,Vermont
1341,51013.0,Arlington,Virginia
1347,53029.0,Island,Washington
1356,53067.0,Thurston,Washington
1360,55039.0,Fond du Lac,Wisconsin
1362,55133.0,Waukesha,Wisconsin
1363,56033.0,Sheridan,Wyoming
1364,2020.0,Anchorage,Alaska
1369,5119.0,Pulaski,Arkansas
1392,6107.0,Tulare,California
1395,8001.0,Adams,Colorado
1406,9005.0,Litchfield,Connecticut
1412,12019.0,Clay,Florida
1414,12031.0,Duval,Florida
1421,12099.0,Palm Beach,Florida
1425,12115.0,Sarasota,Florida
1426,12117.0,Seminole,Florida
1454,19027.0,Carroll,Iowa
1458,20209.0,Wyandotte,Kansas
1462,21173.0,Montgomery,Kentucky
1466,23001.0,Androscoggin,Maine
1477,26065.0,Ingham,Michigan
1478,26081.0,Kent,Michigan
1479,26117.0,Montcalm,Michigan
1481,26147.0,St. Clair,Michigan
1482,26161.0,Washtenaw,Michigan
1486,27037.0,Dakota,Minnesota
1487,27053.0,Hennepin,Minnesota
1490,27145.0,Stearns,Minnesota
1492,29077.0,Greene,Missouri
1494,31025.0,Cass,Nebraska
1496,32510.0,Carson City,Nevada
1504,34013.0,Essex,New Jersey
1508,34027.0,Morris,New Jersey
1515,36001.0,Albany,New York
1516,36025.0,Delaware,New York
1517,36027.0,Dutchess,New York
1518,36043.0,Herkimer,New York
1522,36071.0,Orange,New York
1528,37025.0,Cabarrus,North Carolina
1530,37067.0,Forsyth,North Carolina
1531,37101.0,Johnston,North Carolina
1532,37119.0,Mecklenburg,North Carolina
1533,37133.0,Onslow,North Carolina
1538,39155.0,Trumbull,Ohio
1540,41005.0,Clackamas,Oregon
1555,42095.0,Northampton,Pennsylvania
1557,42103.0,Pike,Pennsylvania
1570,47093.0,Knox,Tennessee
1588,51510.0,Alexandria city,Virginia
1591,51085.0,Hanover,Virginia
1592,51095.0,James City,Virginia
1594,51147.0,Prince Edward,Virginia
1595,51153.0,Prince William,Virginia
1599,53013.0,Columbia,Washington
1600,53027.0,Grays Harbor,Washington
1613,53077.0,Yakima,Washington
1619,1051.0,Elmore,Alabama
1620,1073.0,Jefferson,Alabama
1621,1083.0,Limestone,Alabama
1622,1101.0,Montgomery,Alabama
1623,1125.0,Tuscaloosa,Alabama
1642,6069.0,San Benito,California
1658,8019.0,Clear Creek,Colorado
1667,8101.0,Pueblo,Colorado
1668,8107.0,Routt,Colorado
1669,8117.0,Summit,Colorado
1670,8123.0,Weld,Colorado
1687,12095.0,Orange,Florida
1688,12097.0,Osceola,Florida
1705,13129.0,Gordon,Georgia
1707,13151.0,Henry,Georgia
1712,16001.0,Ada,Idaho
1726,19085.0,Harrison,Iowa
1729,20015.0,Butler,Kansas
1739,22089.0,St. Charles,Louisiana
1740,22103.0,St. Tammany,Louisiana
1741,22109.0,Terrebonne,Louisiana
1743,23005.0,Cumberland,Maine
1744,24003.0,Anne Arundel,Maryland
1746,24017.0,Charles,Maryland
1756,26017.0,Bay,Michigan
1757,26029.0,Charlevoix,Michigan
1760,26089.0,Leelanau,Michigan
1761,26099.0,Macomb,Michigan
1774,27171.0,Wright,Minnesota
1775,28029.0,Copiah,Mississippi
1777,28083.0,Leflore,Mississippi
1778,28109.0,Pearl River,Mississippi
1780,29083.0,Henry,Missouri
1782,30031.0,Gallatin,Montana
1783,30049.0,Lewis and Clark,Montana
1784,30093.0,Silver Bow,Montana
1785,30111.0,Yellowstone,Montana
1801,34029.0,Ocean,New Jersey
1818,36093.0,Schenectady,New York
1829,37191.0,Wayne,North Carolina
1834,40109.0,Oklahoma,Oklahoma
1848,42029.0,Chester,Pennsylvania
1849,42041.0,Cumberland,Pennsylvania
1856,42125.0,Washington,Pennsylvania
1868,46087.0,McCook,South Dakota
1871,47065.0,Hamilton,Tennessee
1872,47089.0,Jefferson,Tennessee
1874,47149.0,Rutherford,Tennessee
1878,48027.0,Bell,Texas
1882,48141.0,El Paso,Texas
1884,48167.0,Galveston,Texas
1888,48423.0,Smith,Texas
1890,48453.0,Travis,Texas
1901,51660.0,Harrisonburg city,Virginia
1910,53025.0,Grant,Washington
1927,55079.0,Milwaukee,Wisconsin
1929,55101.0,Racine,Wisconsin
1930,55117.0,Sheboygan,Wisconsin
1932,56013.0,Fremont,Wyoming
1934,1003.0,Baldwin,Alabama
1941,4009.0,Graham,Arizona
1963,6079.0,San Luis Obispo,California
1976,8013.0,Boulder,Colorado
1985,8077.0,Mesa,Colorado
1992,9003.0,Hartford,Connecticut
1994,9009.0,New Haven,Connecticut
2023,13077.0,Coweta,Georgia
2035,15007.0,Kauai,Hawaii
2037,16013.0,Blaine,Idaho
2038,16081.0,Teton,Idaho
2040,17035.0,Cumberland,Illinois
2041,17043.0,DuPage,Illinois
2045,17167.0,Sangamon,Illinois
2046,17163.0,St. Clair,Illinois
2047,17203.0,Woodford,Illinois
2053,18091.0,LaPorte,Indiana
2057,18179.0,Wells,Indiana
2059,19049.0,Dallas,Iowa
2064,20059.0,Franklin,Kansas
2067,21017.0,Bourbon,Kentucky
2072,21179.0,Nelson,Kentucky
2073,22015.0,Bossier,Louisiana
2076,22057.0,Lafourche,Louisiana
2079,22095.0,St. John the Baptist,Louisiana
2086,24013.0,Carroll,Maryland
2091,25001.0,Barnstable,Massachusetts
2093,25005.0,Bristol,Massachusetts
2105,26115.0,Monroe,Michigan
2117,27129.0,Renville,Minnesota
2129,30063.0,Missoula,Montana
2144,34021.0,Mercer,New Jersey
2153,35043.0,Sandoval,New Mexico
2157,36007.0,Broome,New York
2169,36107.0,Tioga,New York
2170,36109.0,Tompkins,New York
2173,37019.0,Brunswick,North Carolina
2176,37049.0,Craven,North Carolina
2178,37085.0,Harnett,North Carolina
2185,39013.0,Belmont,Ohio
2186,39017.0,Butler,Ohio
2188,39049.0,Franklin,Ohio
2189,39093.0,Lorain,Ohio
2191,39153.0,Summit,Ohio
2193,39157.0,Tuscarawas,Ohio
2194,40065.0,Jackson,Oklahoma
2208,42003.0,Allegheny,Pennsylvania
2222,45013.0,Beaufort,South Carolina
2226,45063.0,Lexington,South Carolina
2234,47013.0,Campbell,Tennessee
2245,48039.0,Brazoria,Texas
2253,48209.0,Hays,Texas
2260,49043.0,Summit,Utah
2265,50023.0,Washington,Vermont
2266,50027.0,Windsor,Vermont
2270,51041.0,Chesterfield,Virginia
2278,51177.0,Spotsylvania,Virginia
2290,53039.0,Klickitat,Washington
2306,55139.0,Winnebago,Wisconsin
2312,1081.0,Lee,Alabama
2315,1117.0,Shelby,Alabama
2322,5051.0,Garland,Arkansas
2325,5125.0,Saline,Arkansas
2339,6071.0,San Bernardino,California
2345,6083.0,Santa Barbara,California
2363,8045.0,Garfield,Colorado
2380,12003.0,Baker,Florida
2383,12017.0,Citrus,Florida
2406,13059.0,Clarke,Georgia
2407,13063.0,Clayton,Georgia
2411,13095.0,Dougherty,Georgia
2420,13217.0,Newton,Georgia
2425,15009.0,Maui,Hawaii
2429,17027.0,Clinton,Illinois
2438,17195.0,Whiteside,Illinois
2439,17201.0,Winnebago,Illinois
2443,18057.0,Hamilton,Indiana
2452,19005.0,Allamakee,Iowa
2457,19153.0,Polk,Iowa
2464,21049.0,Clark,Kentucky
2475,22087.0,St. Bernard,Louisiana
2482,23015.0,Lincoln,Maine
2485,24510.0,Baltimore city,Maryland
2489,24027.0,Howard,Maryland
2496,25013.0,Hampden,Massachusetts
2499,25023.0,Plymouth,Massachusetts
2511,26139.0,Ottawa,Michigan
2523,27161.0,Waseca,Minnesota
2524,27163.0,Washington,Minnesota
2528,28049.0,Hinds,Mississippi
2545,33011.0,Hillsborough,New Hampshire
2568,36029.0,Erie,New York
2569,36039.0,Greene,New York
2572,36057.0,Montgomery,New York
2576,36079.0,Putnam,New York
2595,37189.0,Watauga,North Carolina
2597,37195.0,Wilson,North Carolina
2604,39095.0,Lucas,Ohio
2605,39103.0,Medina,Ohio
2610,40027.0,Cleveland,Oklahoma
2612,40071.0,Kay,Oklahoma
2614,40119.0,Payne,Oklahoma
2627,41071.0,Yamhill,Oregon
2633,42077.0,Lehigh,Pennsylvania
2634,42079.0,Luzerne,Pennsylvania
2644,45007.0,Anderson,South Carolina
2647,45045.0,Greenville,South Carolina
2648,45051.0,Horry,South Carolina
2673,48121.0,Denton,Texas
2687,49049.0,Utah,Utah
2718,53041.0,Lewis,Washington
2719,53043.0,Lincoln,Washington
2747,2090.0,Fairbanks North Star Borough,Alaska
2752,5023.0,Cleburne,Arkansas
2753,5025.0,Cleveland,Arkansas
2754,5041.0,Desha,Arkansas
2757,5079.0,Lincoln,Arkansas
2768,6057.0,Nevada,California
2822,12033.0,Escambia,Florida
2824,12069.0,Lake,Florida
2851,13117.0,Forsyth,Georgia
2855,13139.0,Hall,Georgia
2860,13223.0,Paulding,Georgia
2862,13285.0,Troup,Georgia
2877,17143.0,Peoria,Illinois
2881,17197.0,Will,Illinois
2885,18005.0,Bartholomew,Indiana
2887,18043.0,Floyd,Indiana
2915,22005.0,Ascension,Louisiana
2935,24021.0,Frederick,Maryland
2940,24041.0,Talbot,Maryland
2966,27009.0,Benton,Minnesota
2967,27013.0,Blue Earth,Minnesota
2980,28045.0,Hancock,Mississippi
2983,28095.0,Monroe,Mississippi
2985,29037.0,Cass,Missouri
2999,33003.0,Carroll,New Hampshire
3008,34019.0,Hunterdon,New Jersey
3015,34035.0,Somerset,New Jersey
3023,36003.0,Allegany,New York
3034,36067.0,Onondaga,New York
3035,36069.0,Ontario,New York
3050,37063.0,Durham,North Carolina
3065,39055.0,Geauga,Ohio
3073,40017.0,Canadian,Oklahoma
3080,41003.0,Benton,Oregon
3112,45039.0,Fairfield,South Carolina
3131,47155.0,Sevier,Tennessee
3137,48037.0,Bowie,Texas
3148,48321.0,Matagorda,Texas
3156,49045.0,Tooele,Utah
3158,49051.0,Wasatch,Utah
3163,50017.0,Orange,Vermont
3178,51179.0,Stafford,Virginia
3180,51199.0,York,Virginia
3205,55087.0,Outagamie,Wisconsin
3211,55141.0,Wood,Wisconsin
3219,1089.0,Madison,Alabama
3222,1115.0,St. Clair,Alabama
3226,2130.0,Ketchikan Gateway Borough,Alaska
3229,4017.0,Navajo,Arizona
3244,6029.0,Kern,California
3248,6053.0,Monterey,California
3295,10005.0,Sussex,Delaware
3299,12009.0,Brevard,Florida
3319,12105.0,Polk,Florida
3347,13245.0,Richmond,Georgia
3349,13313.0,Whitfield,Georgia
3351,15001.0,Hawaii,Hawaii
3357,16065.0,Madison,Idaho
3377,18047.0,Franklin,Indiana
3383,18089.0,Lake,Indiana
3388,19001.0,Adair,Iowa
3390,19013.0,Black Hawk,Iowa
3398,20045.0,Douglas,Kansas
3399,20057.0,Ford,Kansas
3408,21143.0,Lyon,Kentucky
3414,22033.0,East Baton Rouge,Louisiana
3423,22117.0,Washington,Louisiana
3426,23011.0,Kennebec,Maine
3428,23017.0,Oxford,Maine
3430,23031.0,York,Maine
3456,26075.0,Jackson,Michigan
3463,26137.0,Otsego,Michigan
3474,27091.0,Martin,Minnesota
3475,27103.0,Nicollet,Minnesota
3486,28047.0,Harrison,Mississippi
3488,28059.0,Jackson,Mississippi
3492,29019.0,Boone,Missouri
3494,29051.0,Cole,Missouri
3497,29095.0,Jackson,Missouri
3506,31107.0,Knox,Nebraska
3507,31153.0,Sarpy,Nebraska
3519,34015.0,Gloucester,New Jersey
3531,34041.0,Warren,New Jersey
3536,35055.0,Taos,New Mexico
3540,36019.0,Clinton,New York
3554,36083.0,Rensselaer,New York
3559,36105.0,Sullivan,New York
3564,36121.0,Wyoming,New York
3572,37097.0,Iredell,North Carolina
3576,37163.0,Sampson,North Carolina
3581,38015.0,Burleigh,North Dakota
3582,38017.0,Cass,North Dakota
3586,39031.0,Coshocton,Ohio
3588,39037.0,Darke,Ohio
3591,39085.0,Lake,Ohio
3594,39099.0,Mahoning,Ohio
3605,40117.0,Pawnee,Oklahoma
3614,41039.0,Lane,Oregon
3623,42007.0,Beaver,Pennsylvania
3641,45017.0,Calhoun,South Carolina
3649,45079.0,Richland,South Carolina
3651,45091.0,York,South Carolina
3672,48041.0,Brazos,Texas
3677,48139.0,Ellis,Texas
3683,48303.0,Lubbock,Texas
3705,51540.0,Charlottesville city,Virginia
3708,51075.0,Goochland,Virginia
3711,51087.0,Henrico,Virginia
3719,51830.0,Williamsburg city,Virginia
3724,53021.0,Franklin,Washington
3735,53045.0,Mason,Washington
3744,54037.0,Jefferson,West Virginia
3747,55059.0,Kenosha,Wisconsin
3757,56021.0,Laramie,Wyoming
3758,56029.0,Park,Wyoming
3761,1015.0,Calhoun,Alabama
3770,1121.0,Talladega,Alabama
3774,2122.0,Kenai Peninsula Borough,Alaska
3776,4005.0,Coconino,Arizona
3782,5011.0,Bradley,Arkansas
3786,5045.0,Faulkner,Arkansas
3792,5143.0,Washington,Arkansas
3801,6045.0,Mendocino,California
3844,8125.0,Yuma,Colorado
3848,9007.0,Middlesex,Connecticut
3850,10001.0,Kent,Delaware
3867,12073.0,Leon,Florida
3882,12119.0,Sumter,Florida
3884,12131.0,Walton,Florida
3891,13073.0,Columbia,Georgia
3903,13153.0,Houston,Georgia
3921,16083.0,Twin Falls,Idaho
3926,17077.0,Jackson,Illinois
3928,17091.0,Kankakee,Illinois
3929,17093.0,Kendall,Illinois
3930,17099.0,LaSalle,Illinois
3932,17119.0,Madison,Illinois
3937,17189.0,Washington,Illinois
3940,17199.0,Williamson,Illinois
3946,18019.0,Clark,Indiana
3947,18041.0,Fayette,Indiana
3953,18079.0,Jennings,Indiana
3957,18095.0,Madison,Indiana
3971,19183.0,Washington,Iowa
3972,19191.0,Winneshiek,Iowa
3978,20103.0,Leavenworth,Kansas
3983,21073.0,Franklin,Kentucky
3986,21117.0,Kenton,Kentucky
3990,21227.0,Warren,Kentucky
4010,23019.0,Penobscot,Maine
4028,25011.0,Franklin,Massachusetts
4062,27131.0,Rice,Minnesota
4067,28011.0,Bolivar,Mississippi
4068,28027.0,Coahoma,Mississippi
4070,28033.0,DeSoto,Mississippi
4077,28089.0,Madison,Mississippi
4080,28111.0,Perry,Mississippi
4087,29183.0,St. Charles,Missouri
4089,29510.0,St. Louis city,Missouri
4095,31001.0,Adams,Nebraska
4099,31111.0,Lincoln,Nebraska
4104,33001.0,Belknap,New Hampshire
4108,33013.0,Merrimack,New Hampshire
4110,34001.0,Atlantic,New Jersey
4136,36017.0,Chenango,New York
4141,36031.0,Essex,New York
4143,36041.0,Hamilton,New York
4145,36045.0,Jefferson,New York
4146,36051.0,Livingston,New York
4164,36113.0,Warren,New York
4165,36115.0,Washington,New York
4174,37071.0,Gaston,North Carolina
4175,37081.0,Guilford,North Carolina
4177,37093.0,Hoke,North Carolina
4180,37109.0,Lincoln,North Carolina
4182,37125.0,Moore,North Carolina
4183,37129.0,New Hanover,North Carolina
4192,38059.0,Morton,North Dakota
4194,39005.0,Ashland,Ohio
4197,39023.0,Clark,Ohio
4201,39041.0,Delaware,Ohio
4204,39077.0,Huron,Ohio
4210,39109.0,Miami,Ohio
4237,42001.0,Adams,Pennsylvania
4240,42011.0,Berks,Pennsylvania
4245,42069.0,Lackawanna,Pennsylvania
4255,42133.0,York,Pennsylvania
4267,45061.0,Lee,South Carolina
4279,47021.0,Cheatham,Tennessee
4284,47147.0,Robertson,Tennessee
4289,47165.0,Sumner,Tennessee
4306,48285.0,Lavaca,Texas
4309,48309.0,McLennan,Texas
4310,48325.0,Medina,Texas
4312,48401.0,Rusk,Texas
4316,48479.0,Webb,Texas
4317,48485.0,Wichita,Texas
4318,48491.0,Williamson,Texas
4319,49003.0,Box Elder,Utah
4320,49005.0,Cache,Utah
4337,51036.0,Charles City,Virginia
4349,51760.0,Richmond city,Virginia
4355,53005.0,Benton,Washington
4380,54055.0,Mercer,West Virginia
4381,55009.0,Brown,Wisconsin
4385,55063.0,La Crosse,Wisconsin
4391,55131.0,Washington,Wisconsin
4399,56039.0,Teton,Wyoming
4402,1017.0,Chambers,Alabama
4408,1097.0,Mobile,Alabama
4414,1127.0,Walker,Alabama
4425,4023.0,Santa Cruz,Arizona
4426,4025.0,Yavapai,Arizona
4427,5007.0,Benton,Arkansas
4428,5009.0,Boone,Arkansas
4430,5019.0,Clark,Arkansas
4433,5031.0,Craighead,Arkansas
4434,5035.0,Crittenden,Arkansas
4438,5053.0,Grant,Arkansas
4439,5055.0,Greene,Arkansas
4440,5063.0,Independence,Arkansas
4443,5111.0,Poinsett,Arkansas
4444,5113.0,Polk,Arkansas
4445,5115.0,Pope,Arkansas
4448,5129.0,Searcy,Arkansas
4449,5131.0,Sebastian,Arkansas
4450,5133.0,Sevier,Arkansas
4451,5141.0,Van Buren,Arkansas
4490,8025.0,Crowley,Colorado
4496,8049.0,Grand,Colorado
